연도,학교,기숙사 수용률,2023기준 존재여부
2020,경인교육대학교 ,39.4,False
2020,경인교육대학교 _제2캠퍼스,51.9,False
2020,경일대학교 ,22.9,False
2020,경희대학교 ,20.6,False
2020,계명대학교 ,14.0,False
2020,고려대학교 ,10.8,False
2020,고려대학교(세종) _분교,37.6,False
2020,고신대학교 ,36.5,False
2020,공주교육대학교 ,45.4,False
2020,광신대학교 ,23.4,False
2020,광운대학교 ,12.4,False
2020,광주가톨릭대학교 ,184.3,False
2020,광주과학기술원 ,103.1,False
2020,광주교육대학교 ,36.4,False
2020,광주대학교 ,27.4,False
2020,광주여자대학교 ,29.1,False
2020,국립강릉원주대학교 ,36.5,False
2020,국립강릉원주대학교 _제2캠퍼스,29.5,False
2020,국립경국대학교 ,29.3,False
2020,국립공주대학교 ,29.8,False
2020,국립군산대학교 ,21.0,False
2020,국립금오공과대학교 ,45.6,False
2020,국립목포대학교 ,22.7,False
2020,국립목포해양대학교 ,94.9,False
2020,국립부경대학교 ,23.4,False
2020,국립순천대학교 ,29.3,False
2020,국립창원대학교 ,25.2,False
2020,국립한국교통대학교 ,24.1,False
2020,국립한국해양대학교 ,43.2,False
2020,국립한밭대학교 ,14.9,False
2020,국민대학교 ,11.7,False
2020,극동대학교 ,12.7,False
2020,금강대학교 ,154.1,False
2020,김천대학교 ,50.3,False
2020,나사렛대학교 ,26.3,False
2020,남부대학교 ,24.3,False
2020,남서울대학교 ,13.7,False
2020,단국대학교 ,19.1,False
2020,단국대학교 _제2캠퍼스,19.3,False
2020,대구가톨릭대학교 ,24.1,False
2020,대구경북과학기술원 ,132.9,False
2020,대구교육대학교 ,27.5,False
2020,대구대학교 ,21.2,False
2020,대구예술대학교 ,24.9,False
2020,대구한의대학교 ,14.9,False
2020,대신대학교 ,13.0,False
2020,대전가톨릭대학교 ,682.9,False
2020,대전대학교 ,23.8,False
2020,대전신학대학교 ,0.0,False
2020,대진대학교 ,21.2,False
2020,덕성여자대학교 ,15.3,False
2020,동국대학교 ,11.4,False
2020,동국대학교(WISE) _분교,22.9,False
2020,동덕여자대학교 ,10.7,False
2020,동명대학교 ,13.8,False
2020,동서대학교 ,19.0,False
2020,동신대학교 ,21.7,False
2020,동아대학교 ,12.8,False
2020,동양대학교 ,55.1,False
2020,동의대학교 ,20.6,False
2020,루터대학교 ,25.6,False
2020,명지대학교 ,30.8,False
2020,명지대학교 _제2캠퍼스,12.1,False
2020,목원대학교 ,19.8,False
2020,목포가톨릭대학교 ,39.9,False
2020,배재대학교 ,20.1,False
2020,백석대학교 ,13.7,False
2020,부산가톨릭대학교 ,11.9,False
2020,부산교육대학교 ,40.1,False
2020,부산대학교 ,20.5,False
2020,부산외국어대학교 ,20.2,False
2020,부산장신대학교 ,49.9,False
2020,삼육대학교 ,26.5,False
2020,상명대학교 ,10.3,False
2020,상명대학교 _제2캠퍼스,18.7,False
2020,상지대학교 ,12.4,False
2020,서강대학교 ,13.0,False
2020,서경대학교 ,11.1,False
2020,서울과학기술대학교 ,22.5,False
2020,서울교육대학교 ,57.5,False
2020,서울기독대학교 ,0.0,False
2020,서울대학교 ,25.3,False
2020,서울시립대학교 ,11.4,False
2020,서울신학대학교 ,14.0,False
2020,서울여자대학교 ,12.1,False
2020,서울장신대학교 ,39.1,False
2020,서울한영대학교 ,14.3,False
2020,서원대학교 ,14.1,False
2020,선문대학교 ,38.8,False
2020,성결대학교 ,11.0,False
2020,성공회대학교 ,22.3,False
2020,성균관대학교 ,21.4,False
2020,성신여자대학교 ,9.7,False
2020,세명대학교 ,41.7,False
2020,세종대학교 ,11.0,False
2020,세한대학교 ,34.2,False
2020,송원대학교 ,14.3,False
2020,수원가톨릭대학교 ,144.1,False
2020,수원대학교 ,11.2,False
2020,숙명여자대학교 ,12.5,False
2020,순복음총회신학교 ,86.5,False
2020,순천향대학교 ,38.9,False
2020,숭실대학교 ,11.5,False
2020,신경주대학교 ,43.9,False
2020,신라대학교 ,13.5,False
2020,신한대학교 ,50.4,False
2020,신한대학교 _제2캠퍼스,5.4,False
2020,아신대학교 ,32.1,False
2020,아주대학교 ,26.6,False
2020,안양대학교 ,2.8,False
2020,안양대학교 _제2캠퍼스,76.1,False
2020,연세대학교 ,36.6,False
2020,연세대학교(미래) _분교,56.4,False
2020,영남대학교 ,15.4,False
2020,영남신학대학교 ,49.5,False
2020,영산대학교 ,26.9,False
2020,영산대학교 _제2캠퍼스,19.3,False
2020,영산선학대학교 ,448.3,False
2020,예수대학교 ,15.2,False
2020,예원예술대학교 ,0.0,False
2020,예원예술대학교 _제2캠퍼스,26.5,False
2020,용인대학교 ,16.8,False
2020,우석대학교 ,28.4,False
2020,우송대학교 ,19.8,False
2020,울산과학기술원 ,100.5,False
2020,울산대학교 ,19.9,False
2020,원광대학교 ,23.3,False
2020,위덕대학교 ,22.1,False
2020,유원대학교 ,47.4,False
2020,을지대학교 ,12.8,False
2020,을지대학교 _제2캠퍼스,12.8,False
2020,이화여자대학교 ,22.9,False
2020,인제대학교 ,25.0,False
2020,인제대학교 _제2캠퍼스,11.3,False
2020,인천가톨릭대학교 ,25.8,False
2020,인천대학교 ,17.4,False
2020,인하대학교 ,12.8,False
2020,장로회신학대학교 ,32.5,False
2020,전남대학교 ,21.7,False
2020,전남대학교 _제2캠퍼스,40.1,False
2020,전북대학교 ,23.8,False
2020,전주교육대학교 ,40.8,False
2020,전주대학교 ,17.1,False
2020,제주국제대학교 ,15.9,False
2020,제주대학교 ,27.8,False
2020,조선대학교 ,11.8,False
2020,중부대학교 ,23.2,False
2020,중앙대학교 ,12.1,False
2020,중앙대학교 _제2캠퍼스,38.7,False
2020,중앙승가대학교 ,151.7,False
2020,중원대학교 ,73.6,False
2020,진주교육대학교 ,28.1,False
2020,차의과학대학교 ,24.0,False
2020,창신대학교 ,46.4,False
2020,청운대학교 ,16.9,False
2020,청주교육대학교 ,51.2,False
2020,청주대학교 ,20.7,False
2020,초당대학교 ,38.0,False
2020,총신대학교 ,51.6,False
2020,추계예술대학교 ,13.9,False
2020,춘천교육대학교 ,57.5,False
2020,충남대학교 ,23.1,False
2020,충북대학교 ,26.4,False
2020,칼빈대학교 ,24.8,False
2020,평택대학교 ,28.3,False
2020,포항공과대학교 ,109.6,False
2020,한경국립대학교 ,22.7,False
2020,한국공학대학교 ,38.1,False
2020,한국과학기술원 ,71.9,False
2020,한국교원대학교 ,57.7,False
2020,한국국제대학교 ,105.5,False
2020,한국기술교육대학교 ,70.1,False
2020,한국방송통신대학교 ,0.0,False
2020,한국성서대학교 ,15.4,False
2020,한국예술종합학교 ,13.2,False
2020,한국외국어대학교 ,19.6,False
2020,한국전통문화대학교 ,99.8,False
2020,한국체육대학교 ,34.4,False
2020,한국침례신학대학교 ,31.2,False
2020,한국항공대학교 ,17.9,False
2020,한남대학교 ,13.2,False
2020,한동대학교 ,75.0,False
2020,한라대학교 ,16.7,False
2020,한려대학교 ,70.9,False
2020,한림대학교 ,33.1,False
2020,한서대학교 ,27.9,False
2020,한성대학교 ,11.1,False
2020,한세대학교 ,15.5,False
2020,한신대학교 ,17.3,False
2020,한양대학교 ,11.9,False
2020,한양대학교(ERICA) _분교,26.9,False
2020,한일장신대학교 ,18.3,False
2020,협성대학교 ,10.0,False
2020,호남대학교 ,21.8,False
2020,호남신학대학교 ,32.2,False
2020,호서대학교 ,18.6,False
2020,호원대학교 ,42.5,False
2020,홍익대학교 ,13.4,False
2020,홍익대학교 _제2캠퍼스,23.0,False
2020,화성의과학대학교 ,18.3,False
2019,가야대학교(김해) ,27.2,False
2019,가천대학교 ,11.2,False
2019,가톨릭관동대학교 ,36.3,False
