연도,학교,총 강좌 수,소규모 강좌 비율,대형 강좌 비율,평균 강좌 규모 점수
2011.0,계명대학교 ,8152,0.3626555045394527,0.003949021773789116,37.35
2011.0,고려대학교 ,6029,0.2340377488992234,0.0039768732353564025,42.65
2011.0,고려대학교(세종) _분교,2413,0.1894256134758594,0.0020726278475447224,38.349999999999994
2011.0,고려사이버대학교 ,700,0.018315018315018312,0.008585164835164836,109.4
2011.0,고신대학교 ,2318,0.46286264929099863,0.004681323150346577,33.650000000000006
2011.0,공주교육대학교 ,1297,0.11568598075724933,0.0,27.700000000000003
2011.0,광신대학교 ,472,0.7497441422030703,0.0,15.4
2011.0,광운대학교 ,2581,0.21306990518202018,0.0007784734173375798,35.5
2011.0,광주가톨릭대학교 ,81,0.22252747252747251,0.0,25.549999999999997
2011.0,광주과학기술원 ,157,0.5949146638801811,0.0,18.950000000000003
2011.0,광주교육대학교 ,959,0.09355393116651438,0.0,28.2
2011.0,광주대학교 ,2556,0.3402957941124064,0.000782530586352985,30.75
2011.0,광주여자대학교 ,1782,0.22967109117597032,0.0016750978032846785,32.650000000000006
2011.0,국립강릉원주대학교 ,2558,0.29579582886705924,0.002347547097778365,30.5
2011.0,국립강릉원주대학교 _제2캠퍼스,1392,0.4734639553781438,0.0,22.700000000000003
2011.0,국립경국대학교 ,3010,0.33195793480796554,0.0006649453198453262,29.85
2011.0,국립공주대학교 ,4979,0.2827874025254216,0.00922758266273578,31.35
2011.0,국립군산대학교 ,3307,0.28774444818797057,0.0002920560747663551,28.4
2011.0,국립금오공과대학교 ,2594,0.2651348501635115,0.0015426399600840424,36.15
2011.0,국립목포대학교 ,2878,0.356163073713491,0.0010421495904806058,32.3
2011.0,국립목포해양대학교 ,928,0.12193999888473764,0.0,39.65
2011.0,국립부경대학교 ,5765,0.2009943299972008,0.0020849321429630557,35.55
2011.0,국립순천대학교 ,3167,0.3938782124974453,0.00222176451052524,28.75
2011.0,국립창원대학교 ,3690,0.31873440077837467,0.002710915577365089,32.55
2011.0,국립한국교통대학교 ,3571,0.2500164915214732,0.002243475168794649,28.9
2011.0,국립한국해양대학교 ,2644,0.16726516450579554,0.004172404020393966,32.7
2011.0,국민대학교 ,5619,0.33860072445130857,0.001600495130415172,36.9
2011.0,국제사이버대학교 ,298,0.013563446286950252,0.16415825522710886,93.80000000000001
2011.0,극동대학교 ,2453,0.32579296223166265,0.0,24.0
2011.0,글로벌사이버대학교 ,127,0.008333333333333333,0.08818407960199005,104.75
2011.0,금강대학교 ,263,0.7225405092592593,0.0,17.55
2011.0,김천대학교 ,1434,0.290762504161078,0.0,28.55
2011.0,나사렛대학교 ,3018,0.30139699736053416,0.0019691671384966247,33.6
2011.0,남부대학교 ,1328,0.3180287038360248,0.001506191490471751,30.85
2011.0,남서울대학교(산업대) ,5253,0.27219843238330216,0.005711131760111447,33.15
2011.0,단국대학교 ,4384,0.293739044264295,0.006357137206407102,39.2
2011.0,단국대학교(천안) _분교,4330,0.19981228065982987,0.014095806420778085,45.95
2011.0,대구가톨릭대학교 ,5132,0.2836129128287613,0.0,37.8
2011.0,대구경북과학기술원 ,0,,,
2011.0,대구교육대학교 ,1198,0.10072436896533457,0.004976899935035424,29.25
2011.0,대구대학교 ,6711,0.2896596572586019,0.004173396231443725,37.0
2011.0,대구사이버대학교 ,546,0.13530803139447373,0.008950650467691647,88.3
2011.0,대구예술대학교 ,1711,0.8399608402539235,0.0005827505827505828,15.3
2011.0,대구외국어대학교 ,159,0.5284900284900285,0.0,24.5
2011.0,대구한의대학교 ,2661,0.2855440990477487,0.0017502367867331368,39.36666666666667
2011.0,대신대학교 ,420,0.6454100145137881,0.004762336719883889,21.0
2011.0,대전가톨릭대학교 ,79,0.1731016731016731,0.0,31.35
2011.0,대전대학교 ,5050,0.3220735364698374,0.003774415203576248,30.9
2011.0,대전신학교 ,0,,,
2011.0,대전신학대학교 ,134,0.46301247771836007,0.0,27.549999999999997
2011.0,대진대학교 ,4013,0.3960268705045624,0.00475024325181209,30.4
2011.0,덕성여자대학교 ,2141,0.35409747371176753,0.0018683188620794975,32.9
2011.0,동국대학교 ,4458,0.18630646430497505,0.0013461388642791272,41.4
2011.0,동국대학교(WISE) _분교,3489,0.28280263843950193,0.0037088261613690324,36.95
2011.0,동덕여자대학교 ,3370,0.43744414183533364,0.0005793742757821553,27.5
2011.0,동명대학교 ,3927,0.34627683180342417,0.0020383216935665957,29.35
2011.0,동서대학교 ,4833,0.3181716285379899,0.006832027745972008,34.25
2011.0,동신대학교 ,2899,0.24382600440907778,0.0010484188414209316,34.2
2011.0,동아대학교 ,6853,0.21622247796878422,0.002325609821351795,40.1
2011.0,동양대학교 ,1217,0.1710595976402965,0.0,37.599999999999994
2011.0,동의대학교 ,8001,0.43455332461817175,0.001630152591213681,30.85
2011.0,디지털서울문화예술대학교 ,533,0.09388298621875264,0.12329143533523096,94.75
2011.0,루터대학교 ,314,0.4624670318523027,0.0,25.799999999999997
2011.0,명신대학교 ,470,0.7453421777584457,0.0,19.0
2011.0,명지대학교 ,2722,0.27257794384633904,0.007014472676701128,34.55
2011.0,명지대학교 _제2캠퍼스,1974,0.10085631264809833,0.014217439936400528,48.8
2011.0,목원대학교 ,5824,0.4618600351983886,0.0036115160745443155,27.5
2011.0,목포가톨릭대학교 ,263,0.4344893469198703,0.0,29.1
