기준연도,학교명,재학생,1인당장학금
2011,전북대학교 _제2캠퍼스,580,884600
2011,전주교육대학교,"1,676",1020900
2011,전주대학교,"10,973",1248100
2011,정석대학,163,0
2011,제주교육대학교,151,1141700
2011,제주대학교,"9,613",1351700
2011,조선대학교,"19,995",1401300
2011,중부대학교,"7,868",1595500
2011,중앙대학교,"12,853",1792900
2011,중앙대학교 _제2캠퍼스,"8,452",1566700
2011,중앙승가대학교,267,933600
2011,중원대학교,871,3833200
2011,진주교육대학교,"1,753",1170100
2011,진주산업대학교(산업대),"4,106",954300
2011,차의과학대학교,715,1908300
2011,청운대학교,"5,918",1209700
2011,청주교육대학교,"1,586",968900
2011,청주대학교,"12,895",1366700
2011,초당대학교(산업대),"3,824",1822700
2011,총신대학교,"1,628",1291400
2011,추계예술대학교,"1,226",1676100
2011,춘천교육대학교,"1,737",1015700
2011,충남대학교,"17,472",1250000
2011,충북대학교,"13,886",1235700
2011,칼빈대학교,451,930200
2011,탐라대학교,476,2363300
2011,평택대학교,"3,760",1702800
2011,포항공과대학교,"1,302",5389300
2011,한경대학교(산업대),"6,120",761700
2011,한국과학기술원,"3,967",10147200
2011,한국교원대학교,"2,368",1242100
2011,한국교통대학교(산업대),"4,544",797700
2011,한국국제대학교,"3,332",1038900
2011,한국기술교육대학교,"3,833",1367800
2011,한국방송통신대학교,"148,323",72300
2011,한국산업기술대학교(산업대),"6,252",1086500
2011,한국성서대학교,"1,057",1354300
2011,한국예술종합학교,"2,373",945800
2011,한국외국어대학교,"8,484",1420800
2011,한국외국어대학교(용인) _분교,"7,929",1244800
2011,한국전통문화대학교(각종),516,1092600
2011,한국체육대학교,"2,420",1662900
2011,한국침례신학대학교,"1,508",1365200
2011,한국항공대학교,"4,225",2007300
2011,한남대학교,"11,897",1175200
2011,한동대학교,"3,669",1727600
2011,한라대학교,"3,384",1261700
2011,한려대학교,260,745000
2011,한려대학교(산업대),684,1078000
2011,한림대학교,"8,472",1586800
2011,한민학교,716,1593200
2011,한밭대학교(산업대),"8,483",698200
2011,한북대학교,"1,151",823600
2011,한서대학교,"7,554",1434100
2011,한성대학교,"6,965",1406900
2011,한세대학교,"2,715",1514500
2011,한신대학교,"5,191",1100200
2011,한양대학교,"15,487",1932400
2011,한양대학교(ERICA) _분교,"9,097",1494400
2011,한일장신대학교,"1,201",2568100
2011,한중대학교,"1,977",4001000
2011,협성대학교,"4,443",1532000
2011,호남대학교,"6,691",1554800
2011,호남신학대학교,626,1402300
2011,호서대학교,"12,314",1152600
2011,호원대학교,"4,958",1610200
2011,홍익대학교,"11,514",2238700
2011,홍익대학교(세종) _분교,"6,321",2297200
2011,화성의과학대학교,625,273900
2012,가야대학교,29,1741400
2012,가야대학교 _제2캠퍼스,"2,501",2061500
2012,가천대학교,"17,155",2394900
2012,가톨릭관동대학교,"8,997",2088900
2012,가톨릭꽃동네대학교,505,3625500
2012,가톨릭대학교,"7,294",2052500
2012,가톨릭대학교 _제2캠퍼스,498,2420400
2012,가톨릭대학교 _제3캠퍼스,212,4952300
2012,감리교신학대학교,885,1972600
2012,강남대학교,"7,127",1618400
2012,강서대학교,"1,468",2372500
2012,강원대학교,"14,348",1633600
2012,강원대학교 _제2캠퍼스,"6,252",2324200
2012,건국대학교,"15,975",2005700
2012,건국대학교(글로컬) _분교,"7,944",1727200
2012,건양대학교,"5,848",2492200
2012,건양대학교 _제2캠퍼스,"2,033",2381500
2012,경기대학교,"11,680",2128800
2012,경기대학교 _제2캠퍼스,"2,432",2082900
2012,경남과학기술대학교,"1,977",2249700
2012,경남대학교,"12,777",2131400
2012,경동대학교,"2,831",2301300
2012,경북대학교,"19,639",1664800
2012,경북대학교 _제2캠퍼스,"3,822",1640600
2012,경북외국어대학교,340,1921200
2012,경상국립대학교,"14,383",1813600
2012,경성대학교,"12,903",2148100
2012,경운대학교,"1,304",2644300
