기준연도,학교명,단과대학,학과,구분,학기,재학생,1인당장학금
2021,가톨릭관동대학교,의료융합대학,바이오융합공학과,주간,2학기,31,872832.3
2021,가톨릭관동대학교,의료융합대학,안경광학과,주간,1학기,78,1171759.5
2021,가톨릭관동대학교,의료융합대학,안경광학과,주간,2학기,73,1746593.2
2021,가톨릭관동대학교,의료융합대학,의료IT학과,주간,1학기,86,1259864.1
2021,가톨릭관동대학교,의료융합대학,의료IT학과,주간,2학기,75,1275372.0
2021,가톨릭관동대학교,의료융합대학,의료경영학과,주간,1학기,233,1637657.9
2021,가톨릭관동대학교,의료융합대학,의료경영학과,주간,2학기,210,1712909.0
2021,가톨릭관동대학교,의료융합대학,의료공학과,주간,1학기,159,1198292.5
2021,가톨릭관동대학교,의료융합대학,의료공학과,주간,2학기,140,1265570.1
2021,가톨릭관동대학교,의료융합대학,의생명과학과,주간,1학기,137,1588534.1
2021,가톨릭관동대학교,의료융합대학,의생명과학과,주간,2학기,126,1635627.6
2021,가톨릭관동대학교,의료융합대학,임상병리학과,주간,1학기,159,1712657.8
2021,가톨릭관동대학교,의료융합대학,임상병리학과,주간,2학기,153,1909423.3
2021,가톨릭관동대학교,의료융합대학,치위생학과,주간,1학기,134,1767358.1
2021,가톨릭관동대학교,의료융합대학,치위생학과,주간,2학기,123,1837140.0
2021,가톨릭관동대학교,미디어예술대학,CG디자인전공,주간,1학기,112,1410821.6
2021,가톨릭관동대학교,미디어예술대학,CG디자인전공,주간,2학기,104,1579007.3
2021,가톨릭관동대학교,미디어예술대학,CG디자인학과,주간,1학기,35,1723815.7
2021,가톨릭관동대학교,미디어예술대학,CG디자인학과,주간,2학기,32,1703817.5
2021,가톨릭관동대학교,미디어예술대학,광고홍보전공,주간,1학기,102,1157941.2
2021,가톨릭관동대학교,미디어예술대학,광고홍보전공,주간,2학기,98,1551450.8
2021,가톨릭관동대학교,미디어예술대학,광고홍보학과,주간,1학기,16,1224349.4
2021,가톨릭관동대학교,미디어예술대학,광고홍보학과,주간,2학기,14,1387214.3
2021,가톨릭관동대학교,미디어예술대학,방송연예전공,주간,1학기,48,1414645.8
2021,가톨릭관동대학교,미디어예술대학,방송연예전공,주간,2학기,53,1439977.4
2021,가톨릭관동대학교,미디어예술대학,뷰티디자인전공,주간,1학기,65,1358045.1
