기준년도,학교,계열,학생정원,재학생,전임교원,전임교원1인당학생정원,전임교원1인당재학생
,,인문ㆍ사회계열,"7,479","8,672",223,33.5,38.9
,루터대학교,자연과학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,인문ㆍ사회계열,746,515,21,35.5,24.5
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,명지대학교,예ㆍ체능계열,"1,693","1,751",47,36,37.3
,,의학계열,0,0,0,0,0
,,공학계열,"4,855","5,259",155,31.3,33.9
,,자연과학계열,"1,123","1,078",47,23.9,22.9
,,인문ㆍ사회계열,653,664,27,24.2,24.6
,명지대학교 _제2캠퍼스,인문ㆍ사회계열,"6,387","8,205",205,31.2,40
,,예ㆍ체능계열,950,801,11,86.4,72.8
,,자연과학계열,116,53,2,58,26.5
,,공학계열,188,117,0,0,0
,,의학계열,0,0,0,0,0
,목원대학교,예ㆍ체능계열,"2,784","2,732",76,36.6,35.9
,,인문ㆍ사회계열,"4,672","5,225",143,32.7,36.5
,,공학계열,"1,612","1,596",55,29.3,29
,,의학계열,0,0,0,0,0
,,자연과학계열,"1,118","1,125",29,38.6,38.8
,목포가톨릭대학교,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,자연과학계열,360,403,12,30,33.6
,,인문ㆍ사회계열,160,157,6,26.7,26.2
,배재대학교,공학계열,"1,677","1,720",50,33.5,34.4
,,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"5,527","6,188",167,33.1,37.1
,,자연과학계열,"1,905","1,968",65,29.3,30.3
,,예ㆍ체능계열,"1,139","1,099",24,47.5,45.8
,백석대학교,자연과학계열,"2,122","2,446",73,29.1,33.5
,,인문ㆍ사회계열,"11,004","11,567",281,39.2,41.2
,,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,"2,950","2,756",98,30.1,28.1
,부산가톨릭대학교,예ㆍ체능계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,자연과학계열,"2,447","2,811",68,36,41.3
,,공학계열,420,355,13,32.3,27.3
,,인문ㆍ사회계열,"1,213","1,158",48,25.3,24.1
,부산교육대학교,예ㆍ체능계열,605,594,17,35.6,34.9
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,858,892,23,37.3,38.8
,,인문ㆍ사회계열,"1,632","1,602",36,45.3,44.5
,부산대학교,인문ㆍ사회계열,"11,040","12,462",361,30.6,34.5
,,자연과학계열,"5,603","5,954",222,25.2,26.8
,,공학계열,"9,692","10,406",308,31.5,33.8
,,예ㆍ체능계열,"1,886","2,010",65,29,30.9
,,의학계열,"2,787","2,697",308,9,8.8
,부산외국어대학교,공학계열,531,453,15,35.4,30.2
,,자연과학계열,90,62,1,90,62
,,예ㆍ체능계열,345,280,4,86.3,70
,,의학계열,0,0,0,0,0
