기준년도,학교,계열,편제정원,"재학생 충원율(%)
(B/A) × 100"
2012,동서대학교,자연과학계열,610,102
2012,동서대학교,공학계열,3280,92.5
2012,동서대학교,예ㆍ체능계열,1755,104.7
2012,동신대학교,자연과학계열,2490,105.1
2012,동신대학교,인문ㆍ사회계열,2610,99
2012,동신대학교,공학계열,1260,76.1
2012,동신대학교,의학계열,160,128.8
2012,동신대학교,예ㆍ체능계열,460,72.6
2012,동아대학교,인문ㆍ사회계열,7960,125.7
2012,동아대학교,예ㆍ체능계열,2348,90.5
2012,동아대학교,의학계열,96,103.1
2012,동아대학교,공학계열,5020,118
2012,동아대학교,자연과학계열,2933,101.9
2012,동양대학교,자연과학계열,105,112.4
2012,동양대학교,인문ㆍ사회계열,2011,103
2012,동양대학교,공학계열,2070,90.8
2012,동양대학교,예ㆍ체능계열,428,74.1
2012,동의대학교,예ㆍ체능계열,1650,86.2
2012,동의대학교,인문ㆍ사회계열,6845,119.8
2012,동의대학교,자연과학계열,2430,97.6
2012,동의대학교,공학계열,5035,101.7
2012,동의대학교,의학계열,200,93
2012,디지털서울문화예술대학교,인문ㆍ사회계열,1890,99
2012,디지털서울문화예술대학교,예ㆍ체능계열,2080,87
2012,루터대학교,인문ㆍ사회계열,700,70.6
2012,명지대학교,자연과학계열,1044,95.7
2012,명지대학교,공학계열,4390,106.3
2012,명지대학교,예ㆍ체능계열,1550,102.5
2012,명지대학교 _제2캠퍼스,인문ㆍ사회계열,5320,137.3
2012,목원대학교,예ㆍ체능계열,2642,97.5
2012,목원대학교,공학계열,1558,97.1
2012,목원대학교,자연과학계열,1046,100
2012,목원대학교,인문ㆍ사회계열,4168,111.6
2012,목포가톨릭대학교,인문ㆍ사회계열,160,93.8
2012,목포가톨릭대학교,자연과학계열,360,113.6
2012,배재대학교,자연과학계열,1847,92.7
2012,배재대학교,인문ㆍ사회계열,4835,105.2
2012,배재대학교,공학계열,1585,87.4
2012,배재대학교,예ㆍ체능계열,1093,87.1
2012,백석대학교,예ㆍ체능계열,2686,96.1
2012,백석대학교,자연과학계열,2000,112.8
2012,백석대학교,인문ㆍ사회계열,7996,109.9
2012,부산가톨릭대학교,공학계열,430,77.7
2012,부산가톨릭대학교,자연과학계열,2240,119.2
2012,부산가톨릭대학교,인문ㆍ사회계열,1205,91.4
2012,부산교육대학교,인문ㆍ사회계열,793,105.9
2012,부산교육대학교,자연과학계열,561,107.3
2012,부산교육대학교,예ㆍ체능계열,368,105.2
2012,부산대학교,자연과학계열,4422,107.3
2012,부산대학교,예ㆍ체능계열,1436,108.1
2012,부산대학교,공학계열,6417,121.6
2012,부산대학교,인문ㆍ사회계열,5764,132.8
