기준년도,학교명,대학자체대계열,재적학생,중도탈락학생,중도탈락비율(%)
2010,경북대학교,의학계열,278,6,2.16
2010,경북대학교,인문사회계열,11328,189,1.67
2010,경북대학교,자연과학계열,9134,246,2.69
2010,경북대학교 _제2캠퍼스,공학계열,1320,32,2.42
2010,경북대학교 _제2캠퍼스,예체능계열,159,8,5.03
2010,경북대학교 _제2캠퍼스,인문사회계열,406,10,2.46
2010,경북대학교 _제2캠퍼스,자연과학계열,511,7,1.37
2010,경북외국어대학교,인문사회계열,436,19,4.36
2010,경상국립대학교,공학계열,9250,271,2.93
2010,경상국립대학교,예체능계열,751,24,3.2
2010,경상국립대학교,의학계열,234,8,3.42
2010,경상국립대학교,인문사회계열,8998,185,2.06
2010,경상국립대학교,자연과학계열,7112,241,3.39
2010,경성대학교,공학계열,5159,209,4.05
2010,경성대학교,예체능계열,4363,225,5.16
2010,경성대학교,인문사회계열,11532,423,3.67
2010,경성대학교,자연과학계열,3732,151,4.05
2010,경운대학교(산업대),공학계열,1459,90,6.17
2010,경운대학교(산업대),예체능계열,1960,267,13.62
2010,경운대학교(산업대),인문사회계열,2404,228,9.48
2010,경운대학교(산업대),자연과학계열,2010,80,3.98
2010,경인교육대학교,예체능계열,410,3,0.73
2010,경인교육대학교,인문사회계열,841,9,1.07
2010,경인교육대학교,자연과학계열,524,5,0.95
2010,경인교육대학교 _제2캠퍼스,예체능계열,402,3,0.75
2010,경인교육대학교 _제2캠퍼스,인문사회계열,813,13,1.6
2010,경인교육대학교 _제2캠퍼스,자연과학계열,523,5,0.96
2010,경일대학교,공학계열,4635,408,8.8
2010,경일대학교,예체능계열,1375,107,7.78
2010,경일대학교,인문사회계열,2780,259,9.32
2010,경일대학교,자연과학계열,329,30,9.12
2010,경희대학교,공학계열,1268,22,1.74
2010,경희대학교,예체능계열,1285,29,2.26
2010,경희대학교,의학계열,819,3,0.37
2010,경희대학교,인문사회계열,13163,234,1.78
2010,경희대학교,자연과학계열,4717,113,2.4
2010,경희대학교 _분교,공학계열,9369,223,2.38
2010,경희대학교 _분교,예체능계열,5189,156,3.01
2010,경희대학교 _분교,인문사회계열,4510,99,2.2
2010,경희대학교 _분교,자연과학계열,4173,118,2.83
2010,계명대학교,공학계열,9103,310,3.41
2010,계명대학교,예체능계열,6504,247,3.8
2010,계명대학교,의학계열,483,7,1.45
2010,계명대학교,인문사회계열,17834,526,2.95
2010,계명대학교,자연과학계열,6061,174,2.87
2010,고려대학교,공학계열,11526,166,1.44
2010,고려대학교,예체능계열,1820,17,0.93
2010,고려대학교,의학계열,498,3,0.6
2010,고려대학교,인문사회계열,16539,161,0.97
2010,고려대학교,자연과학계열,8166,143,1.75
2010,고려대학교(세종) _분교,공학계열,3267,93,2.85
2010,고려대학교(세종) _분교,예체능계열,954,30,3.14
2010,고려대학교(세종) _분교,인문사회계열,5952,143,2.4
2010,고려대학교(세종) _분교,자연과학계열,2071,60,2.9
2010,고신대학교,공학계열,916,45,4.91
2010,고신대학교,예체능계열,784,41,5.23
2010,고신대학교,의학계열,471,5,1.06
2010,고신대학교,인문사회계열,3288,122,3.71
2010,고신대학교,자연과학계열,1873,57,3.04
2010,공주교육대학교,예체능계열,377,4,1.06
2010,공주교육대학교,인문사회계열,1968,29,1.47
2010,공주교육대학교,자연과학계열,667,14,2.1
2010,광신대학교,예체능계열,86,6,6.98
2010,광신대학교,인문사회계열,518,50,9.65
2010,광운대학교,공학계열,6980,197,2.82
2010,광운대학교,예체능계열,2235,78,3.49
2010,광운대학교,인문사회계열,5086,172,3.38
2010,광운대학교,자연과학계열,1148,28,2.44
2010,광주가톨릭대학교,인문사회계열,159,2,1.26
2010,광주과학기술원,인문사회계열,99,1,1.01
2010,광주과학기술원,자연과학계열,99,1,1.01
2010,광주교육대학교,예체능계열,437,5,1.14
2010,광주교육대학교,인문사회계열,838,6,0.72
2010,광주교육대학교,자연과학계열,610,4,0.66
2010,광주대학교,공학계열,1953,181,9.27
2010,광주대학교,예체능계열,1523,154,10.11
2010,광주대학교,인문사회계열,6500,504,7.75
2010,광주대학교,자연과학계열,907,75,8.27
2010,광주대학교(산업대),공학계열,122,34,27.87
2010,광주대학교(산업대),예체능계열,35,12,34.29
2010,광주대학교(산업대),인문사회계열,239,52,21.76
2010,광주대학교(산업대),자연과학계열,24,10,41.67
2010,광주여자대학교,공학계열,510,25,4.9
2010,광주여자대학교,예체능계열,1187,83,6.99
2010,광주여자대학교,인문사회계열,2563,134,5.23
2010,광주여자대학교,자연과학계열,2168,115,5.3
2010,국립강릉원주대학교,공학계열,2613,124,4.75
2010,국립강릉원주대학교,예체능계열,599,35,5.84
2010,국립강릉원주대학교,의학계열,236,3,1.27
2010,국립강릉원주대학교,인문사회계열,3672,147,4.0
2010,국립강릉원주대학교,자연과학계열,2929,145,4.95
2010,국립강릉원주대학교 _제2캠퍼스,공학계열,2052,94,4.58
2010,국립강릉원주대학교 _제2캠퍼스,예체능계열,636,33,5.19
2010,국립강릉원주대학교 _제2캠퍼스,인문사회계열,677,40,5.91
2010,국립강릉원주대학교 _제2캠퍼스,자연과학계열,736,27,3.67
2010,국립경국대학교,공학계열,4374,157,3.59
2010,국립경국대학교,예체능계열,1104,58,5.25
2010,국립경국대학교,인문사회계열,4372,117,2.68
2010,국립경국대학교,자연과학계열,3614,132,3.65
2010,국립공주대학교,공학계열,9686,304,3.14
2010,국립공주대학교,예체능계열,1948,58,2.98
2010,국립공주대학교,인문사회계열,6392,143,2.24
2010,국립공주대학교,자연과학계열,6292,185,2.94
2010,국립군산대학교,공학계열,6092,435,7.14
2010,국립군산대학교,예체능계열,1061,81,7.63
2010,국립군산대학교,인문사회계열,4128,204,4.94
