기준연도,학교명,대계열,등록금
2014,위덕대학교,인문사회계열,6782692.308
2014,위덕대학교,자연과학계열,8379428.571
2014,유원대학교,공학계열,8461777.778
2014,유원대학교,예체능계열,8628000
2014,유원대학교,인문사회계열,6875384.615
2014,유원대학교,자연과학계열,8628000
2014,을지대학교,의학계열,10320500
2014,을지대학교,자연과학계열,9858333.333
2014,을지대학교 _제2캠퍼스,공학계열,9967500
2014,을지대학교 _제2캠퍼스,예체능계열,9448250
2014,을지대학교 _제2캠퍼스,인문사회계열,8508000
2014,을지대학교 _제2캠퍼스,자연과학계열,9294291.667
2014,이화여자대학교,공학계열,9746000
2014,이화여자대학교,예체능계열,10823428.57
2014,이화여자대학교,인문사회계열,7777428.571
2014,이화여자대학교,자연과학계열,9269642.857
2014,인제대학교,공학계열,8199581.25
2014,인제대학교,예체능계열,8196500
2014,인제대학교,인문사회계열,6221094.737
2014,인제대학교,자연과학계열,7893427.273
2014,인제대학교 _제2캠퍼스,의학계열,9902000
2014,인제대학교 _제2캠퍼스,자연과학계열,7489500
2014,인천가톨릭대학교,인문사회계열,5186000
2014,인천가톨릭대학교 _제2캠퍼스,예체능계열,8710000
2014,인천가톨릭대학교 _제2캠퍼스,자연과학계열,8950000
2014,인천대학교,공학계열,5663857.143
2014,인천대학교,예체능계열,5373714.286
2014,인천대학교,인문사회계열,4623923.077
2014,인천대학교,자연과학계열,4993100
2014,인하대학교,공학계열,8820127.66
2014,인하대학교,예체능계열,9012666.667
2014,인하대학교,인문사회계열,7130444.444
2014,인하대학교,자연과학계열,8259217.391
2014,장로회신학대학교,예체능계열,9251500
2014,장로회신학대학교,인문사회계열,6657500
2014,전남대학교,공학계열,4498235.294
2014,전남대학교,예체능계열,4654000
2014,전남대학교,의학계열,5874000
2014,전남대학교,인문사회계열,3625777.778
2014,전남대학교,자연과학계열,4425111.111
2014,전남대학교 _제2캠퍼스,공학계열,4530000
2014,전남대학교 _제2캠퍼스,예체능계열,4740000
2014,전남대학교 _제2캠퍼스,인문사회계열,3870800
2014,전남대학교 _제2캠퍼스,자연과학계열,4200800
2014,전북대학교,공학계열,4658742.857
2014,전북대학교,예체능계열,4769428.571
2014,전북대학교,의학계열,4852000
2014,전북대학교,인문사회계열,3508751.515
2014,전북대학교,자연과학계열,4374750
2014,전주교육대학교,인문사회계열,3440000
2014,전주대학교,공학계열,8460000
2014,전주대학교,예체능계열,8079166.667
2014,전주대학교,인문사회계열,6760000
2014,전주대학교,자연과학계열,7793333.333
2014,정석대학,공학계열,0
2014,정석대학,인문사회계열,0
2014,제주국제대학교,공학계열,7104857.143
2014,제주국제대학교,예체능계열,6822000
2014,제주국제대학교,인문사회계열,6550000
2014,제주국제대학교,자연과학계열,6777000
2014,제주대학교,공학계열,4498437.5
2014,제주대학교,예체능계열,4410500
