기준년도,학교종류,설립구분,상태,지역,학교,대계열,입학정원(A),정원내 모집인원(B),정원내 지원자(C),정원내 입학자(D),충원율(%),경쟁률,충원율_평균,충원율_편차,충원율_표준편차,충원안정성비율
2014,대학교,국립,기존,광주,전남대학교,예체능계열,225,225,800,224,99.56,3.56,99.56,0.0,0.0,0.0
2014,대학교,국립,기존,광주,전남대학교,인문사회계열,1214,1214,5738,1212,99.84,4.73,99.92,-0.0799999999999983,0.1131,0.0011319055244195357
2014,대학교,국립,기존,광주,전남대학교,자연과학계열,1154,1154,5159,1153,99.91,4.47,99.91,0.0,0.0,0.0
2014,대학교,사립,기존,광주,조선대학교,공학계열,1539,1539,6074,1533,99.61,3.95,98.428,1.1820000000000022,3.7214,0.03780834721827123
2014,대학교,사립,기존,광주,조선대학교,예체능계열,545,545,1767,545,100.0,3.24,98.1662,1.8337999999999965,1.9509,0.019873439126705528
2014,대학교,사립,기존,광주,조선대학교,인문사회계열,2071,2071,8339,2064,99.66,4.03,97.7925,1.8674999999999926,4.5276,0.046298028989953215
2014,대학교,사립,기존,광주,조선대학교,자연과학계열,590,590,2822,587,99.49,4.78,98.9517,0.5382999999999925,1.4367,0.014519204824171794
2014,대학교,사립,기존,광주,호남대학교,공학계열,360,360,1482,347,96.39,4.12,98.428,-2.0379999999999967,3.7214,0.03780834721827123
2014,대학교,사립,기존,광주,호남대학교,예체능계열,340,340,1463,335,98.53,4.3,98.1662,0.3637999999999977,1.9509,0.019873439126705528
2014,대학교,사립,기존,광주,호남대학교,인문사회계열,708,708,3278,696,98.31,4.63,97.7925,0.5174999999999983,4.5276,0.046298028989953215
2014,대학교,사립,기존,광주,호남대학교,자연과학계열,420,420,2301,404,96.19,5.48,98.9517,-2.7617000000000047,1.4367,0.014519204824171794
2014,대학교,사립,기존,광주,호남신학대학교,예체능계열,50,50,164,50,100.0,3.28,98.1662,1.8337999999999965,1.9509,0.019873439126705528
2014,대학교,사립,기존,광주,호남신학대학교,인문사회계열,120,120,157,104,86.67,1.31,97.7925,-11.122500000000002,4.5276,0.046298028989953215
2014,대학교,국립,기존,대구,경북대학교,공학계열,1621,1621,12557,1618,99.81,7.75,99.81,0.0,0.0,0.0
2014,대학교,국립,기존,대구,경북대학교,예체능계열,312,312,2436,311,99.68,7.81,99.68,0.0,0.0,0.0
2014,대학교,국립,기존,대구,경북대학교,인문사회계열,1444,1444,13870,1422,98.48,9.61,99.11,-0.6299999999999955,0.891,0.008990011098779135
2014,대학교,국립,기존,대구,경북대학교,자연과학계열,1496,1496,12352,1492,99.73,8.26,99.73,0.0,0.0,0.0
2014,대학교,사립,기존,대구,계명대학교,공학계열,874,874,7302,872,99.77,8.35,99.77,0.0,0.0,0.0
2014,대학교,사립,기존,대구,계명대학교,예체능계열,890,890,6349,889,99.89,7.13,99.89,0.0,0.0,0.0
2014,대학교,사립,기존,대구,계명대학교,인문사회계열,2535,2535,15634,2502,98.7,6.17,98.7,0.0,0.0,0.0
2014,대학교,사립,기존,대구,계명대학교,자연과학계열,671,671,5216,662,98.66,7.77,98.66,0.0,0.0,0.0
