기준년도,학교명_정규화,계열,총재적학생,총탈락자수,중도탈락률(%)
2010,국립강릉원주대학교,의학계열,160.0,0.96,0.6
2010,국립강릉원주대학교,인문사회계열,2325.0,84.044,3.614795698924731
2010,국립강릉원주대학교,자연과학계열,1622.0,89.187,5.4985819975339085
2010,국립강릉원주대학교 _제2캠퍼스,공학계열,1489.0,82.065,5.511417058428476
2010,국립강릉원주대학교 _제2캠퍼스,예체능계열,387.0,23.001,5.943410852713179
2010,국립강릉원주대학교 _제2캠퍼스,인문사회계열,186.0,4.0920000000000005,2.2
2010,국립경국대학교,공학계열,2610.0,103.772,3.975938697318008
2010,국립경국대학교,예체능계열,653.0,43.885999999999996,6.7206738131699835
2010,국립경국대학교,의학계열,202.0,12.022,5.951485148514852
2010,국립경국대학교,인문사회계열,3196.0,75.86200000000001,2.3736545682102634
2010,국립경국대학교,자연과학계열,1240.0,45.045,3.632661290322581
2010,국립공주대학교,공학계열,5095.0,172.908,3.393680078508341
2010,국립공주대학교,예체능계열,939.0,41.891999999999996,4.461341853035143
2010,국립공주대학교,인문사회계열,4874.0,97.995,2.0105662700041034
2010,국립공주대학교,자연과학계열,1617.0,60.81699999999999,3.7611008039579468
2010,국립군산대학교,공학계열,4222.0,316.08,7.486499289436285
2010,국립군산대학교,예체능계열,739.0,54.028000000000006,7.310960757780785
2010,국립군산대학교,의학계열,222.0,15.096000000000002,6.800000000000001
2010,국립군산대학교,인문사회계열,1891.0,99.185,5.245108408249603
2010,국립군산대학교,자연과학계열,2362.0,158.965,6.7301016088060965
2010,국립금오공과대학교,공학계열,6799.0,273.136,4.017296661273717
2010,국립금오공과대학교,인문사회계열,366.0,12.078000000000001,3.3000000000000003
2010,국립금오공과대학교,자연과학계열,769.0,38.114000000000004,4.956306892067621
2010,국립목포대학교,공학계열,2834.0,119.87100000000001,4.229745942131263
2010,국립목포대학교,예체능계열,610.0,33.847,5.548688524590164
2010,국립목포대학교,인문사회계열,3159.0,128.65800000000002,4.0727445394112065
2010,국립목포대학교,자연과학계열,1099.0,63.149,5.746041856232939
2010,국립목포해양대학교,자연과학계열,1361.0,113.165,8.314842027920646
2010,국립부경대학교,공학계열,7533.0,243.947,3.2383778043276252
2010,국립부경대학교,예체능계열,464.0,19.079,4.111853448275863
2010,국립부경대학교,의학계열,201.0,6.029999999999999,2.9999999999999996
2010,국립부경대학교,인문사회계열,4683.0,118.62299999999999,2.5330557335041637
2010,국립부경대학교,자연과학계열,3934.0,112.84899999999999,2.868556176919166
2010,국립순천대학교,공학계열,2395.0,144.339,6.026680584551148
2010,국립순천대학교,예체능계열,772.0,48.902,6.334455958549223
2010,국립순천대학교,의학계열,184.0,20.032,10.88695652173913
2010,국립순천대학교,인문사회계열,3121.0,120.26,3.853252162768343
2010,국립순천대학교,자연과학계열,884.0,50.986000000000004,5.76764705882353
2010,국립창원대학교,공학계열,4002.0,109.518,2.736581709145427
2010,국립창원대학교,예체능계열,704.0,31.902,4.531534090909091
2010,국립창원대학교,인문사회계열,3081.0,62.56,2.0305095748133724
2010,국립창원대학교,자연과학계열,923.0,25.085,2.7177681473456126
2010,국립한국교통대학교,공학계열,966.0,35.987,3.72536231884058
2010,국립한국교통대학교,예체능계열,35.0,1.015,2.9
