기준년도,학교,계열,편제정원,"재학생 충원율(%)
(B/A) × 100",학교_정규화
2010,동신대학교,예ㆍ체능계열,445,71.5,동신대학교
2010,동신대학교,인문ㆍ사회계열,2925,86.9,동신대학교
2010,동신대학교,자연과학계열,2205,97.6,동신대학교
2010,동신대학교,공학계열,1245,81.5,동신대학교
2010,동신대학교,의학계열,160,123.8,동신대학교
2010,동아대학교,예ㆍ체능계열,2224,97.1,동아대학교
2010,동아대학교,의학계열,146,117.1,동아대학교
2010,동아대학교,자연과학계열,2833,97.3,동아대학교
2010,동아대학교,인문ㆍ사회계열,8320,115.4,동아대학교
2010,동아대학교,공학계열,5045,108.9,동아대학교
2010,동양대학교,예ㆍ체능계열,473,67.4,동양대학교
2010,동양대학교,인문ㆍ사회계열,1991,91.8,동양대학교
2010,동양대학교,자연과학계열,25,116.0,동양대학교
2010,동양대학교,공학계열,2135,70.3,동양대학교
2010,동의대학교,인문ㆍ사회계열,6910,116.3,동의대학교
2010,동의대학교,자연과학계열,2250,93.2,동의대학교
2010,동의대학교,공학계열,5145,96.0,동의대학교
2010,동의대학교,의학계열,200,91.0,동의대학교
2010,동의대학교,예ㆍ체능계열,1675,82.6,동의대학교
2010,루터대학교,인문ㆍ사회계열,800,64.1,루터대학교
2010,명지대학교,공학계열,4380,107.2,명지대학교
2010,명지대학교,자연과학계열,1044,94.3,명지대학교
2010,명지대학교,예ㆍ체능계열,1560,101.9,명지대학교
2010,명지대학교 _제2캠퍼스,인문ㆍ사회계열,5320,123.4,명지대학교 _제2캠퍼스
2010,목원대학교,인문ㆍ사회계열,4452,96.7,목원대학교
2010,목원대학교,예ㆍ체능계열,2715,94.0,목원대학교
2010,목원대학교,공학계열,1566,83.8,목원대학교
2010,목원대학교,자연과학계열,935,87.9,목원대학교
2010,목포가톨릭대학교,자연과학계열,380,113.4,목포가톨릭대학교
2010,목포가톨릭대학교,인문ㆍ사회계열,180,82.2,목포가톨릭대학교
2010,배재대학교,공학계열,1600,88.1,배재대학교
2010,배재대학교,자연과학계열,1760,86.6,배재대학교
2010,배재대학교,예ㆍ체능계열,1110,87.2,배재대학교
2010,배재대학교,인문ㆍ사회계열,4890,106.1,배재대학교
2010,백석대학교,인문ㆍ사회계열,8367,102.6,백석대학교
2010,백석대학교,자연과학계열,1815,108.0,백석대학교
2010,백석대학교,예ㆍ체능계열,2538,93.5,백석대학교
2010,부산가톨릭대학교,인문ㆍ사회계열,1275,84.6,부산가톨릭대학교
2010,부산가톨릭대학교,자연과학계열,2165,120.3,부산가톨릭대학교
2010,부산가톨릭대학교,공학계열,440,72.0,부산가톨릭대학교
2010,부산교육대학교,인문ㆍ사회계열,929,104.3,부산교육대학교
2010,부산교육대학교,예ㆍ체능계열,402,104.5,부산교육대학교
2010,부산교육대학교,자연과학계열,726,102.5,부산교육대학교
2010,부산대학교,예ㆍ체능계열,1381,108.5,부산대학교
2010,부산대학교,공학계열,6359,120.2,부산대학교
2010,부산대학교,자연과학계열,4413,106.9,부산대학교
2010,부산대학교,인문ㆍ사회계열,6066,124.5,부산대학교
2010,부산외국어대학교,인문ㆍ사회계열,7650,107.8,부산외국어대학교
2010,부산외국어대학교,공학계열,480,90.6,부산외국어대학교
2010,부산외국어대학교,예ㆍ체능계열,350,86.0,부산외국어대학교
2010,부산외국어대학교,자연과학계열,120,71.7,부산외국어대학교
2010,부산장신대학교,인문ㆍ사회계열,280,99.6,부산장신대학교
2010,삼육대학교,예ㆍ체능계열,809,99.1,삼육대학교
2010,삼육대학교,공학계열,360,70.0,삼육대학교
2010,삼육대학교,자연과학계열,1973,101.6,삼육대학교
2010,삼육대학교,인문ㆍ사회계열,1946,107.8,삼육대학교
2010,상명대학교,예ㆍ체능계열,1080,100.4,상명대학교
2010,상명대학교,공학계열,140,147.9,상명대학교
2010,상명대학교,자연과학계열,1650,111.6,상명대학교
2010,상명대학교,인문ㆍ사회계열,2730,126.2,상명대학교
