기준연도,학교명,중도탈락학생(신입생)비율(%),정원내 신입생 충원율(%),기숙사 수용률,1인당장학금,소규모 강좌 비율,평균 강좌 규모 점수,전임교원 1인당 학생수(정원기준),취업률,진학률,가중 평균 재학생 충원율(%)
2021,대전대학교,5.3,90.8,25.0,3567621.3,0.5,20.8,28.4,63.5,2.0,90.8
2021,대진대학교,8.1,99.7,22.1,3696110.7,0.3,23.8,31.1,64.5,2.5,89.6
2021,덕성여자대학교,8.2,99.9,13.1,2953160.2,0.4,21.0,24.0,59.8,5.3,104.8
2021,동국대학교,8.4,99.9,11.5,3282565.5,0.4,21.4,23.6,68.8,8.4,97.4
2021,동국대학교(WISE) _분교,8.2,93.3,23.9,3583165.4,0.4,21.2,22.9,61.9,4.2,89.7
2021,동덕여자대학교,8.7,99.9,10.4,3213287.5,0.3,23.9,29.1,67.9,4.3,98.7
2021,동명대학교,18.0,89.0,14.2,3983420.1,0.5,20.2,26.8,66.2,1.4,88.8
2021,동서대학교,3.6,80.7,20.1,3779942.7,0.5,20.4,27.1,64.1,1.9,88.4
2021,동신대학교,21.8,92.3,22.2,4062715.4,0.4,22.0,27.4,68.4,1.8,83.8
2021,동아대학교,4.6,99.3,12.6,3474696.5,0.3,23.8,25.3,56.1,5.3,97.7
2021,동양대학교,7.8,81.0,56.1,3449238.2,0.3,23.2,29.4,60.9,2.2,81.9
2021,동의대학교,4.8,94.4,20.2,3509890.1,0.6,18.3,27.8,60.4,3.1,91.4
2021,루터대학교,18.2,100.0,26.9,4191147.4,0.6,18.4,25.7,56.8,11.5,95.2
2021,명지대학교,6.7,100.0,30.5,3472567.8,0.5,20.6,25.2,67.4,8.4,92.4
2021,명지대학교 _제2캠퍼스,5.9,99.7,11.3,3182267.8,0.3,23.6,30.1,64.2,1.8,98.8
2021,목원대학교,6.3,88.6,20.6,3945235.2,0.4,21.3,28.8,58.5,4.6,87.4
2021,목포가톨릭대학교,2.4,100.0,27.1,4668880.3,0.3,23.2,24.0,77.3,0.0,98.0
2021,배재대학교,9.4,88.1,20.8,3544913.1,0.6,18.0,29.4,63.1,2.3,86.3
2021,백석대학교,5.4,98.1,13.6,3728523.5,0.5,20.8,30.5,63.5,1.2,91.4
2021,부산가톨릭대학교,5.5,80.3,12.2,4419252.6,0.5,19.3,26.7,66.9,1.5,89.8
2021,부산교육대학교,4.7,99.2,46.4,2145356.7,0.1,28.4,34.9,68.0,0.3,96.6
2021,부산대학교,9.0,99.7,21.5,2796801.2,0.4,22.6,21.3,55.6,11.1,98.5
2021,부산디지털대학교,13.0,71.4,,,0.2,25.8,,,,78.0
2021,부산외국어대학교,5.7,81.0,21.7,3147735.5,0.5,19.2,30.0,59.0,1.7,86.8
2021,부산장신대학교,12.5,100.0,52.3,5076327.2,0.9,13.0,29.0,45.2,14.3,82.0
2021,삼육대학교,6.0,100.0,27.0,3912563.3,0.5,20.2,24.4,67.0,3.4,99.5
2021,상명대학교,9.2,99.9,8.5,3441802.3,0.6,18.5,24.8,62.9,5.0,91.8
