기준연도,학교명,대계열,재학생,실모집인원,재학생충원율
2014,국립한국교통대학교,인문사회계열,2026,2108,96.1
2014,국립한국교통대학교,예체능계열,263,280,93.9
2014,국립한국교통대학교,공학계열,4957,5490,90.3
2014,국립한국교통대학교,자연과학계열,651,670,97.2
2014,국립한국해양대학교,공학계열,4033,3403,118.5
2014,국립한국해양대학교,예체능계열,97,100,97
2014,국립한국해양대학교,인문사회계열,1828,1280,142.8
2014,국립한국해양대학교,자연과학계열,1015,796,127.5
2014,국립한밭대학교,공학계열,2974,4044,73.5
2014,국립한밭대학교,예체능계열,286,345,82.9
2014,국립한밭대학교,인문사회계열,1243,1380,90.1
2014,국민대학교,예체능계열,2388,2220,107.6
2014,국민대학교,인문사회계열,7832,5436,144.1
2014,국민대학교,자연과학계열,1545,1304,118.5
2014,국민대학교,공학계열,3728,3027,123.2
2014,극동대학교,자연과학계열,995,955,104.2
2014,극동대학교,공학계열,579,685,84.5
2014,극동대학교,예체능계열,833,950,87.7
2014,극동대학교,인문사회계열,1840,1755,104.8
2014,금강대학교,인문사회계열,454,595,76.3
2014,김천대학교,공학계열,124,160,77.5
2014,김천대학교,예체능계열,73,110,66.4
2014,김천대학교,인문사회계열,860,1165,73.8
2014,김천대학교,자연과학계열,2368,2572,92.1
2014,나사렛대학교,자연과학계열,1175,1485,79.1
2014,나사렛대학교,인문사회계열,4035,3454,116.8
2014,나사렛대학교,예체능계열,739,457,161.7
2014,남부대학교,예체능계열,447,579,77.2
2014,남부대학교,공학계열,249,250,99.6
2014,남부대학교,자연과학계열,1843,1677,109.9
2014,남부대학교,인문사회계열,649,702,92.5
2014,남서울대학교,예체능계열,927,1274,72.8
2014,남서울대학교,공학계열,1218,1905,63.9
2014,남서울대학교,자연과학계열,476,495,96.2
2014,남서울대학교,인문사회계열,3213,3672,87.5
2014,남서울대학교(산업대),자연과학계열,183,140,130.7
