기준연도,학교명,대계열,재학생,실모집인원,재학생충원율
2021,한양대학교(ERICA) _분교,자연과학계열,532,500,106.4
2021,한양대학교(ERICA) _분교,공학계열,4108,3625,113.3
2021,한양대학교(ERICA) _분교,예체능계열,1432,1096,130.7
2021,한일장신대학교,인문사회계열,382,474,80.6
2021,한일장신대학교,자연과학계열,219,208,105.3
2021,한일장신대학교,예체능계열,191,194,98.5
2021,협성대학교,인문사회계열,2448,2428,100.8
2021,협성대학교,자연과학계열,286,308,92.9
2021,협성대학교,공학계열,548,580,94.5
2021,협성대학교,예체능계열,624,700,89.1
2021,호남대학교,인문사회계열,2326,1839,126.5
2021,호남대학교,자연과학계열,1782,1781,100.1
2021,호남대학교,공학계열,1327,1594,83.2
2021,호남대학교,예체능계열,1187,1034,114.8
2021,호남신학대학교,인문사회계열,294,328,89.6
2021,호남신학대학교,예체능계열,174,240,72.5
2021,호서대학교,인문사회계열,3642,3747,97.2
2021,호서대학교,자연과학계열,1619,1469,110.2
2021,호서대학교,공학계열,4419,4733,93.4
2021,호서대학교,예체능계열,1615,1613,100.1
2021,호원대학교,인문사회계열,1325,1043,127
2021,호원대학교,자연과학계열,863,874,98.7
2021,호원대학교,공학계열,964,963,100.1
2021,호원대학교,예체능계열,1540,1624,94.8
2021,홍익대학교,인문사회계열,3465,2513,137.9
2021,홍익대학교,자연과학계열,111,112,99.1
2021,홍익대학교,공학계열,5040,5276,95.5
2021,홍익대학교,예체능계열,3051,1634,186.7
2021,홍익대학교 _제2캠퍼스,인문사회계열,1210,1065,113.6
2021,홍익대학교 _제2캠퍼스,공학계열,2391,2992,79.9
2021,홍익대학교 _제2캠퍼스,예체능계열,1771,1172,151.1
2021,화성의과학대학교,인문사회계열,126,343,36.7
2021,화성의과학대학교,자연과학계열,238,353,67.4
2021,화성의과학대학교,예체능계열,69,262,26.3
2021,가야대학교(김해),인문사회계열,639,765,83.5
2021,가야대학교(김해),자연과학계열,1383,1552,89.1
2021,가천대학교,의학계열,261,244,107
2021,가천대학교,예체능계열,1680,1440,116.7
2021,가천대학교,자연과학계열,3374,3020,111.7
2021,가천대학교,인문사회계열,7739,5444,142.2
2021,가천대학교,공학계열,6254,5290,118.2
2021,가톨릭관동대학교,의학계열,241,196,123
2021,가톨릭관동대학교,공학계열,1317,1742,75.6
2021,가톨릭관동대학교,예체능계열,1056,1270,83.1
2021,가톨릭관동대학교,자연과학계열,1266,1328,95.3
2021,가톨릭관동대학교,인문사회계열,3578,3884,92.1
2021,가톨릭꽃동네대학교,자연과학계열,216,196,110.2
2021,가톨릭꽃동네대학교,인문사회계열,212,236,89.8
2021,가톨릭대학교,인문사회계열,3902,3223,121.1
2021,가톨릭대학교,자연과학계열,1445,1343,107.6
2021,가톨릭대학교,예체능계열,178,180,98.9
2021,가톨릭대학교,공학계열,1452,1342,108.2
