기준년도,학교,전임교원수,1인당 학생수(정원기준),1인당 학생수(재학생기준)
2012,대전신학대학교 ,11.0,30.0,23.1
2012,대진대학교 ,250.0,34.3,35.6
2012,덕성여자대학교 ,179.0,32.4,37.8
2012,동국대학교 ,664.0,25.3,28.8
2012,동국대학교(WISE) _분교,382.0,23.0,25.0
2012,동덕여자대학교 ,235.0,32.8,35.2
2012,동명대학교 ,257.0,35.1,32.7
2012,동서대학교 ,327.0,33.7,35.6
2012,동신대학교 ,236.0,32.8,31.6
2012,동아대학교 ,759.0,29.5,32.3
2012,동양대학교 ,145.0,34.8,32.1
2012,동의대학교 ,520.0,33.8,35.8
2012,루터대학교 ,21.0,40.3,26.3
2012,명지대학교 ,261.0,32.0,33.5
2012,명지대학교 _제2캠퍼스,203.0,38.2,44.9
2012,목원대학교 ,310.0,34.7,34.7
2012,목포가톨릭대학교 ,18.0,28.9,31.1
2012,배재대학교 ,285.0,36.0,35.3
2012,백석대학교 ,427.0,37.8,39.7
2012,부산가톨릭대학교 ,127.0,32.2,33.9
2012,부산교육대학교 ,78.0,40.4,36.2
2012,부산대학교 ,1216.0,25.5,27.8
2012,부산외국어대학교 ,248.0,38.1,39.2
2012,부산장신대학교 ,18.0,35.0,32.6
2012,삼육대학교 ,178.0,33.1,34.4
2012,상명대학교 ,220.0,34.5,36.6
2012,상지대학교 ,250.0,36.3,34.2
2012,서강대학교 ,415.0,31.9,32.7
2012,서경대학교 ,196.0,32.1,35.4
2012,서울과학기술대학교 ,386.0,31.9,34.7
2012,서울교육대학교 ,95.0,37.6,34.0
2012,서울기독대학교 ,30.0,37.4,34.8
2012,서울대학교 ,2164.0,14.0,15.7
2012,서울시립대학교 ,381.0,28.9,32.8
2012,서울신학대학교 ,97.0,36.5,37.5
2012,서울여자대학교 ,239.0,33.0,37.5
2012,서울장신대학교 ,36.0,27.8,28.6
2012,서울한영대학교 ,41.0,27.5,25.6
2012,서원대학교 ,208.0,35.9,32.9
2012,선문대학교 ,300.0,34.3,34.9
2012,성결대학교 ,179.0,33.7,35.0
2012,성공회대학교 ,85.0,34.7,35.1
2012,성균관대학교 ,1316.0,19.4,22.0
2012,성신여자대학교 ,324.0,32.9,36.2
2012,세명대학교 ,245.0,36.6,35.0
2012,세종대학교 ,394.0,33.1,36.4
2012,세한대학교 ,157.0,33.4,28.1
2012,송원대학교 ,91.0,8.8,9.1
2012,수원가톨릭대학교 ,14.0,33.7,18.9
2012,수원대학교 ,322.0,39.5,39.4
2012,숙명여자대학교 ,456.0,29.2,31.2
2012,순복음총회신학교 ,11.0,54.5,18.8
2012,순천향대학교 ,784.0,15.5,16.4
2012,숭실대학교 ,488.0,29.3,37.1
2012,신경주대학교 ,162.0,36.9,23.6
2012,신라대학교 ,301.0,35.8,35.7
2012,아신대학교 ,32.0,64.8,46.4
2012,아주대학교 ,645.0,21.6,25.6
2012,안양대학교 ,177.0,31.8,30.8
2012,안양대학교 _제2캠퍼스,16.0,35.0,31.3
2012,연세대학교 ,1580.0,19.2,23.2
2012,연세대학교(미래) _분교,358.0,19.7,23.4
2012,영남대학교 ,810.0,30.9,35.6
2012,영남신학대학교 ,27.0,38.5,37.9
2012,영산대학교 ,112.0,35.1,25.8
2012,영산대학교 _제2캠퍼스,120.0,26.6,31.6
2012,영산선학대학교 ,12.0,16.7,3.3
2012,예수대학교 ,24.0,23.3,25.1
2012,예원예술대학교 ,51.0,24.5,22.1
2012,용인대학교 ,213.0,33.7,34.4
2012,우석대학교 ,285.0,31.2,31.5
2012,우송대학교 ,270.0,33.7,32.8
2012,울산과학기술원 ,145.0,27.4,18.4
2012,울산대학교 ,1075.0,13.9,15.9
2012,원광대학교 ,803.0,25.0,24.5
2012,위덕대학교 ,105.0,38.6,32.4
2012,유원대학교 ,128.0,34.5,25.9
