기준년도,학교명,졸업자 수,진학률
2021,국립창원대학교,1779,6.0
2021,국립한국교통대학교,2004,5.2
2021,국립한국해양대학교,1402,6.3
2021,국립한밭대학교,2062,3.8
2021,국민대학교,3622,7.5
2021,극동대학교,786,1.0
2021,금강대학교,104,6.7
2021,김천대학교,706,0.4
2021,나사렛대학교,1169,1.9
2021,남부대학교,695,1.4
2021,남서울대학교,2272,1.0
2021,단국대학교,2850,5.8
2021,단국대학교 _제2캠퍼스,2808,8.3
2021,대구가톨릭대학교,2617,5.7
2021,대구경북과학기술원,124,74.2
2021,대구교육대학교,417,0.7
2021,대구대학교,4016,4.4
2021,대구예술대학교,207,3.4
2021,대구한의대학교,1461,2.5
2021,대신대학교,101,4.0
2021,대전가톨릭대학교,12,66.7
2021,대전대학교,1876,2.0
2021,대전신학대학교,26,34.6
2021,대진대학교,1691,2.5
2021,덕성여자대학교,1427,5.3
2021,동국대학교,3493,8.4
2021,동국대학교(WISE) _분교,1684,4.2
2021,동덕여자대학교,1577,4.3
2021,동명대학교,1686,1.4
2021,동서대학교,2271,1.9
2021,동신대학교,1412,1.8
2021,동아대학교,4268,5.3
2021,동양대학교,772,2.2
2021,동의대학교,3325,3.1
2021,루터대학교,87,11.5
2021,명지대학교,1523,8.4
2021,명지대학교 _제2캠퍼스,1818,1.8
2021,목원대학교,1601,4.6
2021,목포가톨릭대학교,119,0.0
2021,배재대학교,1750,2.3
2021,백석대학교,2898,1.2
2021,부산가톨릭대학교,932,1.5
2021,부산교육대학교,387,0.3
2021,부산대학교,4688,11.1
2021,부산외국어대학교,1630,1.7
2021,부산장신대학교,56,14.3
2021,삼육대학교,1368,3.4
2021,상명대학교,1408,5.0
2021,상명대학교 _제2캠퍼스,1324,3.1
2021,상지대학교,1312,2.2
2021,서강대학교,1818,16.3
2021,서경대학교,1288,2.5
2021,서울과학기술대학교,2361,9.0
2021,서울교육대학교,377,2.7
2021,서울기독대학교,94,10.6
2021,서울대학교,3324,28.6
2021,서울시립대학교,1862,9.3
2021,서울신학대학교,452,8.2
2021,서울여자대학교,1563,8.9
2021,서울장신대학교,133,11.3
2021,서울한영대학교,138,3.6
2021,서원대학교,1519,2.8
2021,선문대학교,1960,2.8
2021,성결대학교,1100,3.5
2021,성공회대학교,441,1.4
2021,성균관대학교,4261,15.0
2021,성신여자대학교,2022,7.4
2021,세명대학교,1624,2.0
2021,세종대학교,2779,10.4
2021,세한대학교,788,1.4
2021,송원대학교,600,1.5
2021,수원가톨릭대학교,27,81.5
2021,수원대학교,1978,5.2
2021,숙명여자대학교,2225,11.0
2021,순복음총회신학교,36,22.2
2021,순천향대학교,2532,7.0
2021,숭실대학교,3028,6.9
2021,신경주대학교,240,3.3
2021,신라대학교,1954,2.0
2021,신한대학교,317,1.9
2021,신한대학교 _제2캠퍼스,1098,0.7
2021,아신대학교,152,17.8
2021,아주대학교,2190,12.4
2021,안양대학교,928,3.8
2021,안양대학교 _제2캠퍼스,55,3.6
2021,연세대학교,4133,19.6
2021,연세대학교(미래) _분교,1654,10.4
2021,영남대학교,4889,6.6
2021,영남신학대학교,95,9.5
2021,영산선학대학교,4,100.0
2021,예수대학교,150,0.0
2021,예원예술대학교,110,5.5
2021,예원예술대학교 _제2캠퍼스,62,3.2
2021,용인대학교,1441,1.9
2021,우석대학교,1473,2.2
2021,우송대학교,2154,0.8
2021,울산과학기술원,597,40.5
2021,울산대학교,2629,4.9
2021,원광대학교,2703,3.6
2021,위덕대학교,642,0.9
2021,유원대학교,801,0.6
2021,을지대학교,163,1.2
2021,을지대학교 _제2캠퍼스,1030,2.3
2021,이화여자대학교,3364,15.5
2021,인제대학교,2150,5.7
2021,인천가톨릭대학교,8,75.0
2021,인천가톨릭대학교 _제2캠퍼스,138,5.1
2021,인천대학교,2967,6.5
2021,인하대학교,3962,9.6
2021,장로회신학대학교,173,33.5
2021,전남대학교,3984,7.0
2021,전남대학교 _제2캠퍼스,547,6.0
2021,전북대학교,4084,8.6
2021,전주교육대학교,305,0.0
2021,전주대학교,2385,3.5
2021,제주국제대학교,251,0.8
2021,제주대학교,2064,4.7
2021,조선대학교,4599,4.2
2021,중부대학교,1707,1.3
2021,중앙대학교,5184,7.1
2021,중앙대학교 _제2캠퍼스,1674,9.8
2021,중앙승가대학교,39,38.5
2021,중원대학교,769,3.8
2021,진주교육대학교,328,0.0
2021,차의과학대학교,543,12.0
2021,창신대학교,436,2.8
2021,청운대학교,1431,1.0
2021,청주교육대학교,303,0.3
2021,청주대학교,2508,2.9
2021,초당대학교,677,0.7
2021,총신대학교,399,18.0
2021,추계예술대학교,250,9.2
2021,춘천교육대학교,340,0.3
2021,충남대학교,3718,11.3
2021,충북대학교,3240,8.5
2021,칼빈대학교,97,20.6
2021,평택대학교,757,1.8
2021,포항공과대학교,316,72.2
2021,한경국립대학교,1207,3.8
2021,한국공학대학교,1557,6.0
2021,한국과학기술원,707,52.5
2021,한국교원대학교,589,1.4
2021,한국기술교육대학교,863,7.2
2021,한국성서대학교,256,6.3
2021,한국예술종합학교,513,9.7
2021,한국외국어대학교,3757,5.6
2021,한국전통문화대학교,126,21.4
2021,한국체육대학교,611,3.6
2021,한국침례신학대학교,329,11.6
2021,한국항공대학교,855,10.4
2021,한남대학교,2390,5.1
2021,한동대학교,821,15.6
2021,한라대학교,804,1.0
2021,한림대학교,1741,7.7
2021,한서대학교,1370,2.3
2021,한성대학교,1447,3.3
2021,한세대학교,545,5.0
2021,한신대학교,987,4.6
2021,한양대학교,3724,14.0
2021,한양대학교(ERICA) _분교,2147,13.8
2021,한일장신대학교,199,4.5
2021,협성대학교,929,5.8
2021,호남대학교,1703,1.1
2021,호남신학대학교,123,34.1
2021,호서대학교,2805,3.7
2021,호원대학교,1273,0.9
2021,홍익대학교,3037,5.4
2021,홍익대학교 _제2캠퍼스,1516,3.5
2021,화성의과학대학교,118,2.5
2020,가야대학교(김해),630,0.5
2020,가천대학교,4322,4.5
2020,가톨릭관동대학교,1721,2.0
2020,가톨릭꽃동네대학교,105,1.0
2020,가톨릭대학교,1596,8.3
2020,가톨릭대학교 _제2캠퍼스,88,1.1
2020,가톨릭대학교 _제3캠퍼스,10,10.0
2020,감리교신학대학교,211,34.1
2020,강남대학교,1720,2.0
2020,강서대학교,278,2.5
2020,강원대학교,3167,8.7
2020,강원대학교 _제2캠퍼스,1342,3.1
2020,건국대학교,3447,9.6
2020,건국대학교(글로컬) _분교,1655,4.5
2020,건양대학교,926,1.6
2020,건양대학교 _제2캠퍼스,852,4.0
2020,경기대학교,2666,3.9
2020,경기대학교 _제2캠퍼스,516,1.2
2020,경남과학기술대학교,1107,2.5
2020,경남대학교,2671,2.8
2020,경동대학교,689,1.0
2020,경동대학교 _제3캠퍼스,859,0.3
2020,경동대학교 _제4캠퍼스,301,1.3
2020,경북대학교,5044,10.3
2020,경상국립대학교,3303,7.6
2020,경성대학교,2819,1.9
2020,경운대학교,1007,0.5
2020,경인교육대학교 _제2캠퍼스,613,0.3
2020,경일대학교,1295,2.3
2020,경희대학교,6005,8.8
2020,계명대학교,4766,4.8
2020,고려대학교,4572,17.7
2020,고려대학교(세종) _분교,1458,10.9
2020,고신대학교,746,6.6
2020,공주교육대학교,363,1.1
2020,광신대학교,119,20.2
2020,광운대학교,1818,8.4
2020,광주가톨릭대학교,9,77.8
2020,광주과학기술원,149,76.5
2020,광주교육대학교,332,0.3
2020,광주대학교,1549,1.4
2020,광주여자대학교,817,1.0
2020,국립강릉원주대학교,1231,4.9
2020,국립강릉원주대학교 _제2캠퍼스,494,1.4
2020,국립경국대학교,1367,6.7
2020,국립공주대학교,3160,5.4
2020,국립군산대학교,1548,5.1
2020,국립금오공과대학교,1688,5.3
2020,국립목포대학교,1442,4.4
2020,국립목포해양대학교,598,0.8
2020,국립부경대학교,3941,5.9
2020,국립순천대학교,1657,2.8
2020,국립창원대학교,1895,5.8
2020,국립한국교통대학교,1940,4.0
2020,국립한국해양대학교,1530,5.9
2020,국립한밭대학교,1926,4.9
2020,국민대학교,3520,8.4
2020,극동대학교,717,1.5
2020,금강대학교,113,1.8
2020,김천대학교,821,1.3
2020,나사렛대학교,1213,2.6
2020,남부대학교,787,1.1
2020,남서울대학교,2131,0.8
2020,단국대학교,2654,5.8
2020,단국대학교 _제2캠퍼스,2643,7.9
2020,대구가톨릭대학교,2680,5.4
2020,대구경북과학기술원,154,77.3
2020,대구교육대학교,402,2.5
2020,대구대학교,3988,3.0
2020,대구예술대학교,220,2.3
2020,대구한의대학교,1445,3.3
2020,대신대학교,95,12.6
2020,대전가톨릭대학교,14,64.3
2020,대전대학교,1966,2.5
2020,대전신학대학교,28,32.1
2020,대진대학교,1587,3.7
2020,덕성여자대학교,1229,5.4
2020,동국대학교,3081,7.6
2020,동국대학교(WISE) _분교,1666,6.2
2020,동덕여자대학교,1521,6.2
2020,동명대학교,1689,1.2
2020,동서대학교,2108,1.3
2020,동신대학교,1538,1.6
2020,동아대학교,4374,5.3
2020,동양대학교,827,1.7
2020,동의대학교,3464,2.3
2020,루터대학교,86,11.6
2020,명지대학교,1540,9.5
2020,명지대학교 _제2캠퍼스,1593,2.6
2020,목원대학교,1754,6.9
2020,목포가톨릭대학교,122,0.0
2020,배재대학교,1772,3.2
2020,백석대학교,2782,1.2
2020,부산가톨릭대학교,904,1.2
2020,부산교육대학교,374,0.8
2020,부산대학교,4665,10.5
2020,부산외국어대학교,1851,1.2
2020,부산장신대학교,56,21.4
2020,삼육대학교,1276,3.4
2020,상명대학교,1495,4.9
