기준년도,학교,학과,등록금
,,사회복지학과,6718000
,,복지스포츠학과,7722000
,,병원관리학과,6718000
,,문학영상학과,6088000
,,디지털콘텐츠학과,6718000
,,기업정보관리학과,6088000
,건양대학교 _제2캠퍼스,물리치료학과,8020000
,,방사선학과,8020000
,,안경광학과,8020000
,,의예과,10754000
,,의학과,10124000
,,임상병리학과,8020000
,,작업치료학과,8020000
,,치위생학과,8020000
,,간호학과,8020000
,경기대학교,화학공학과,9246000
,,생명과학과,8522000
,,서양화학과,9246000
,,서예・문자예술학과,9246000
,,수학과,8522000
,,스포츠경영학과,8522000
,,시각정보디자인학과,9246000
,,식품생물공학과,8522000
,,신소재공학과,9246000
,,영어영문학과,7316000
,,외식・조리학과,7336000
,,유아교육학과,7336000
,,응용정보통계학과,7316000
,,이벤트학과,7336000
,,일어일문학과,7316000
,,장신구・금속디자인학과,9246000
,,전자공학과,9246000
,,전자물리학과,8522000
,,중어중문학과,7316000
,,지식재산학과,7316000
,,청소년학과,7316000
,,체육학과,8522000
,,컴퓨터과학과,8884000
,,토목공학과,9246000
,,프랑스어문학과,7316000
,,한국화학과,9246000
,,행정학과,7316000
,,산업디자인학과,9246000
,,산업경영공학과,9246000
,,사회체육학과,8522000
,,건축공학과,9246000
,,건축학과,9246000
,,경영정보학과,7316000
,,경영학과,7316000
,,경제학과,7316000
,,경찰행정학과,7316000
,,경호안전학과,8522000
,,관광개발학과,7336000
,,교정보호학과,7316000
,,국어국문학과,7316000
,,국제관계학과,7316000
,,국제산업정보학과,7316000
,,국제통상학과,7316000
,,기계시스템공학과,9246000
,,도시・교통공학과,9246000
,,도예학과,9246000
,,독어독문학과,7316000
,,러시아학과,7316000
,,레저스포츠・건강학과,8522000
,,무역학과,7316000
,,문예창작학과,7316000
,,문헌정보학과,7316000
,,미술경영학과,9246000
,,법학과,7316000
,,사학과,7316000
,,사회복지학과,7316000
,,환경에너지시스템공학과,9246000
,,환경조각학과,9246000
,,회계세무학과,7316000
,,화학과,8522000
,경기대학교 _제2캠퍼스,행정학과,7316000
,,회계세무학과,7316000
,,호텔경영학과,7336000
,,정치매체관리학과,9246000
,,전자디지털음악학과,9246000
,,영어영문학과,7316000
,,영상학과,9246000
,,연기학과,9246000
,,애니메이션학과,9246000
,,법학과,7316000
,,무역학과,7316000
,,국어국문학과,7316000
,,관광경영학과,7336000
,,경제학과,7316000
,,경영학과,7316000
,경남대학교,군사학과,7260000
,,기계자동화공학부,8380000
,,나노공학과,8380000
,,디자인학부,8566000
,,문화콘텐츠학부,7260000
,,물리치료학과,7260000
,,미술교육과,8566000
,,법학부,6240000
,,사회복지학부,6240000
,,산업공학과,7800000
,,소방방재공학과,8380000
,,국제언어문화학부,5660000
,,국어교육과,6240000
,,교육학과,6367500
,,관광학부,6672500
,,과학교육과,7260000
,,경호비서학부,7260000
,,경제무역학부,6240000
,,경영학부,6240000
,,건축학부,8380000
,,건강스포츠학과,8100000
,,간호학과,7260000
,,가정교육과,7260000
,,e-비즈니스학부,7260000
,,자연과학부,6680000
,,수학교육과,7132500
,,식품생명학과,7260000
,,환경공학과,8380000
,,행정경찰학부,6240000
,,패션의류학과,7260000
,,토목공학과,8380000
,,컴퓨터공학부,8380000
,,체육교육과,7666500
,,중국학부,6240000
,,조선해양IT공학과,8380000
,,정치언론학부,5660000
,,정보통신공학과,8380000
,,전자공학과,8380000
,,전기공학과,8380000
,,신소재공학과,7800000
,,일어교육과,6240000
,,인문학부,6240000
,,응용수리학부,6680000
,,음악교육과,8566000
,,유아교육과,6750000
,,영어학부,6240000
,,영어교육과,6240000
,,에너지화학공학과,7800000
,,심리사회학부,6240000
,,신문방송정치외교학부,6240000
,,식품영양학과,7260000
,경동대학교,스포츠마케팅학과,7222000
,,안경광학과,10014000
,,유아교육과,7624000
,,응급구조학과,10014000
,,중등특수교육과,7624000
,,한국어교원과,7222000
,,해양심층수학과,9096000
,,작업치료학과,9044000
,,사회복지경영학부,7222000
,,물리치료학과,9044000
,,디자인학과,9096000
,,관광학부,7222000
,,경호학과,7670000
,,경찰행정학과,7670000
,,건축토목공학부,9096000
,,간호학과,9322000
,,IT공학부,9096000
,,임상병리학과,9044000
,경북대학교,물리 및 에너지학부,4823300
,,물리및에너지학부 물리학전공,4823300
,,물리및에너지학부 에너지과학전공,4823300
,,미술학과,5336000
,,미술학과 서양화전공,5520000
,,미술학과 조소전공,5520000
,,미술학과 조형예술이론전공,5520000
,,미술학과 한국화전공,5520000
,,"미술학과(한국화전공, 서양화전공, 조소전공, 조형예술이론전공)",5520000
,,법학부,3737000
,,불어불문학과,3975800
,,사학과,3975800
,,사회교육학부,3975800
,,사회교육학부 역사교육전공,3975800
,,사회교육학부 일반사회교육전공,3975800
,,사회교육학부 지리교육전공,3975800
,,사회복지학과,3975800
,,사회학과,3975800
,,생명과학부,4823300
,,생명과학부 생명공학전공,4823300
,,생명과학부 생물학전공,4823300
,,문헌정보학과,3975800
,,독어독문학과,3975800
,,경영학부 경영학전공,3917000
,,경영학부 회계학전공,3917000
,,경제통상학부,3917000
,,고고인류학과,3975800
,,고분자공학과,5148300
,,과학교육학부,4823300
,,과학교육학부 물리교육전공,4823300
,,과학교육학부 생물교육전공,4823300
,,과학교육학부 지구과학교육전공,4823300
,,과학교육학부 화학교육전공,4823300
,,교육학과,3975800
,,국악학과,5136000
,,"국악학과(기악전공, 성악전공,이론작곡전공)",5320000
,,국어교육과,3975800
,,국어국문학과,3975800
,,기계공학부,5148300
,,기계공학부 기계공학전공,5148300
,,기계공학부 기계설계학전공,5148300
,,노어노문학과,3975800
,,농업경제학과,3975800
,,농업토목공학과,4823300
,,생물산업기계공학과,4823300
,,섬유시스템공학과,5148300
,,음악학과 피아노전공,5320000
,,"음악학과(성악전공, 피아노전공, 작곡전공, 관현악전공, 이론전공)",5320000
,,응용생명과학부,4823300
,,응용생명과학부 생명식품공학전공,4823300
,,응용생명과학부 식물생명과학전공,4823300
,,응용생명과학부 응용생물화학전공,4823300
,,응용화학과,5148300
,,의류학과,4823300
,,의학과,5669000
,,인문사회계열,4038000
,,인문사회자율전공계열,4038000
,,일어일문학과,3973500
,,임산공학과,4823300
,,임학・임산공학과군,4823300
,,임학과,4823300
,,자연과학계열,5068000
,,자연과학자율전공계열,5068000
,,전기공학과,5151000
,,전자공학부,5151000
,,전자전기컴퓨터학부,4969300
,,정치외교학과,3973500
,,음악학과 작곡전공,5320000
,,음악학과 이론전공,5320000
,,수의예과,5178000
,,수의학과,5669000
,,수학과,4823300
,,수학교육과,4823300
,,시각정보디자인학과,5317000
,,식품영양학과,4823300
,,신문방송학과,3975800
,,신소재공학부,5148300
,,신소재공학부 금속신소재공학전공,5148300
,,신소재공학부 전자재료공학전공,5148300
,,심리학과,3975800
,,아동가족학과,4823300
,,영어교육과,3975800
,,영어영문학과,3975800
,,유럽어교육학부,3975800
,,유럽어교육학부 독어교육전공,3975800
,,유럽어교육학부 불어교육전공,3975800
,,윤리교육과,3975800
,,음악학과,5136000
,,음악학과 관현악전공,5320000
